itemTableID,questionID,description,Image URL
90151,2024-4M4 #1,Determine an appropriate measurement of an object,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=6FE6DE61-F289-45FD-81D6-34D6289B3C36
90153,2024-4M4 #3,Solve a problem using unit conversions,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=21F80A8B-EA82-4C82-8623-32E05445D777
90160,2024-4M6 #5,Apply properties of multiplication,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=887D47EC-C694-4BC9-AF41-012352AFE0A0
90162,2024-4M6 #7,Find value of an unknown in a number sentence,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=98715379-9B9E-484C-88DC-FA35C0ADABB8
90164,2024-4M7 #2,Identify appropriate unit of measurement,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=3062F30F-A29D-4672-B4BC-6D606A360305
90165,2024-4M7 #3,Compose 4-digit number using place value,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=4F976233-79EB-4F65-9937-BFAB9160A977
90167,2024-4M7 #5,Identify reasonable measurement,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=8D352AFC-8FE7-4D92-AA67-86DA9811248E
90170,2024-4M10 #2,Translate a situation into an algebraic expression,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=D4A7EA7B-8B7C-4713-ACED-B174C7FC8A27
90171,2024-4M10 #3,Solve a multi-step story problem,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=C091E2E3-FE82-4C17-82D8-3F723D532BBD
90173,2024-4M10 #5,Identify odd numbers,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=5792A651-D542-429B-BCBE-DDBF4E7F69BB
90177,2024-4M13 #4,Determine the value of a digit in a whole number,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=3AE25CD5-1413-4F6A-9E93-FACD6643A655
90178,2024-4M13 #5,Read data from tally tables,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=9C62705D-9A1B-48AE-9142-58D93BB2D9D9
90187,2024-8M1 #5,Select appropriate unit of measurement for a situation,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=4B3A73B5-6595-41FE-8CE3-EAF055E18B90
90188,2024-8M1 #7,Read data from a line graph,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=D7B03ECB-ECBA-4DB9-8DC8-12B57DC5C207
90192,2024-8M4 #3,Identify a geometric solid given the number of faces,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=DCAA5293-D77F-4C38-A131-7D910630B0E9
90197,2024-8M5 #3,Solve a problem using similarity and proportional reasoning,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=C3451E41-9D57-40EF-980A-3EC0CF3005DF
90198,2024-8M5 #4,Compute a missing value in a data set from the mean,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=2FBCAB2B-A47E-42FE-9408-C89A9921AB59
90200,2024-8M5 #7,Identify greatest number in scientific notation,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=B40F5F10-C9BA-44A6-A44A-65758605B34E
90201,2024-8M5 #9,Interpret a theoretical probability,https://www.nationsreportcard.gov/nqt/api/QueryResults/GetItemResource?TableID=43FC3E2A-2ABD-4CA2-9D9A-8D0E53754EE4
